"year","title","venue","authors"
"0","Efficient geometry-based similarity search of 3D spatial databases","International Conference on Management of Data","Daniel A. Keim"
"0","A user-centered interface for querying distributed multimedia databases","International Conference on Management of Data","Isabel F. Cruz, Kimberly M. James"
"0","World Wide Database-integrating the Web, CORBA and databases","International Conference on Management of Data","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani"
"0","XML-based information mediation with MIX","International Conference on Management of Data","Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu"
"0","The CCUBE constraint object-oriented database system","International Conference on Management of Data","Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo"
"0","Benchmarking Spatial Join Operations with Spatial Output","Very Large Data Bases","Erik G. Hoel, Hanan Samet"
"0","The active MultiSync controller of the cubetree storage organization","International Conference on Management of Data","Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis"
"0","The Jungle database search engine","International Conference on Management of Data","Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson"
"0","Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases","Very Large Data Bases","Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang"
"0","A componentized architecture for dynamic electronic markets","ACM SIGMOD Record","Benny Reich, Israel Ben-Shaul"
"0","Semantic integration of environmental models for application to global information systems and decision-making","ACM SIGMOD Record","D. Scott Mackay"
"0","Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing","Very Large Data Bases","Viswanath Poosala, Yannis E. Ioannidis"
"0","ADEPT: an agent-based approach to business process management","ACM SIGMOD Record","N. R. Jennings, T. J. Norman, P. Faratin"
"0","The WASA2 object-oriented workflow management system","International Conference on Management of Data","Gottfried Vossen, Mathias Weske"
"0","Enhanced abstract data types in object-relational databases","The VLDB Journal &mdash; The International Journal on Very Large Data Bases","Praveen Seshadri"
"0","Report on DART '96: databases: active and real-time (concepts meet practice)","ACM SIGMOD Record","Krithi Ramamritham, Nandit Soparkar"
"0","OLAP, relational, and multidimensional database systems","ACM SIGMOD Record","George Colliat"
"0","UniSQL's next-generation object-relational database management system","ACM SIGMOD Record","Albert D'Andrea, Phil Janus"
"0","Scientists called upon to take actions","ACM SIGMOD Record","Xiaolei Qian"
